"Name","ID","Sweep","Runtime","dy_config.base_model.checkpoint_dir","dy_config.base_model.config_dir","dy_config.data.in_distribution.dataloader_args.dataset","dy_config.data.in_distribution.dataloader_args.dgm_args.length","dy_config.data.in_distribution.dataloader_args.dgm_args.model_loading_config.checkpoint_dir","dy_config.data.in_distribution.dataloader_args.dgm_args.model_loading_config.config_dir","dy_config.data.in_distribution.dataloader_args.dgm_args.seed","dy_config.data.in_distribution.dataloader_args.make_valid_loader","dy_config.data.in_distribution.dataloader_args.test_batch_size","dy_config.data.in_distribution.dataloader_args.train_batch_size","dy_config.data.in_distribution.dataloader_args.valid_batch_size","dy_config.data.in_distribution.pick_loader","dy_config.data.out_of_distribution.dataloader_args.dataset","dy_config.data.out_of_distribution.dataloader_args.dgm_args.length","dy_config.data.out_of_distribution.dataloader_args.dgm_args.model_loading_config.checkpoint_dir","dy_config.data.out_of_distribution.dataloader_args.dgm_args.model_loading_config.config_dir","dy_config.data.out_of_distribution.dataloader_args.dgm_args.seed","dy_config.data.out_of_distribution.dataloader_args.make_valid_loader","dy_config.data.out_of_distribution.dataloader_args.test_batch_size","dy_config.data.out_of_distribution.dataloader_args.train_batch_size","dy_config.data.out_of_distribution.dataloader_args.valid_batch_size","dy_config.data.out_of_distribution.pick_loader","dy_config.ood.bypass_visualization","dy_config.ood.histogram_limit","dy_config.ood.method","dy_config.ood.method_args.adaptive_measurement","dy_config.ood.method_args.adaptive_train_data_buffer_size","dy_config.ood.method_args.chunk_size","dy_config.ood.method_args.compression_type","dy_config.ood.method_args.correction_coeff","dy_config.ood.method_args.dimension_tolerance","dy_config.ood.method_args.encoding_model_args.chunk_size","dy_config.ood.method_args.encoding_model_args.diff_transform","dy_config.ood.method_args.encoding_model_args.use_forward_mode","dy_config.ood.method_args.encoding_model_args.use_functorch","dy_config.ood.method_args.encoding_model_args.use_vmap","dy_config.ood.method_args.encoding_model_args.verbose","dy_config.ood.method_args.encoding_model_class","dy_config.ood.method_args.evaluate_r","dy_config.ood.method_args.intrinsic_dimension_calculator_args.encoding_model_args.chunk_size","dy_config.ood.method_args.intrinsic_dimension_calculator_args.encoding_model_args.diff_transform","dy_config.ood.method_args.intrinsic_dimension_calculator_args.encoding_model_args.use_forward_mode","dy_config.ood.method_args.intrinsic_dimension_calculator_args.encoding_model_args.use_functorch","dy_config.ood.method_args.intrinsic_dimension_calculator_args.encoding_model_args.use_vmap","dy_config.ood.method_args.intrinsic_dimension_calculator_args.encoding_model_args.verbose","dy_config.ood.method_args.intrinsic_dimension_calculator_args.encoding_model_class","dy_config.ood.method_args.intrinsic_dimension_calculator_args.verbose","dy_config.ood.method_args.latent_statistics_calculator_args.encoding_model_args.chunk_size","dy_config.ood.method_args.latent_statistics_calculator_args.encoding_model_args.diff_transform","dy_config.ood.method_args.latent_statistics_calculator_args.encoding_model_args.use_forward_mode","dy_config.ood.method_args.latent_statistics_calculator_args.encoding_model_args.use_functorch","dy_config.ood.method_args.latent_statistics_calculator_args.encoding_model_args.use_vmap","dy_config.ood.method_args.latent_statistics_calculator_args.encoding_model_args.verbose","dy_config.ood.method_args.latent_statistics_calculator_args.encoding_model_class","dy_config.ood.method_args.latent_statistics_calculator_args.verbose","dy_config.ood.method_args.latent_statistics_calculator_class","dy_config.ood.method_args.lp_norm_order","dy_config.ood.method_args.percentile","dy_config.ood.method_args.radii_n","dy_config.ood.method_args.radii_range","dy_config.ood.method_args.use_forward_mode","dy_config.ood.method_args.use_functorch","dy_config.ood.method_args.use_vmap","dy_config.ood.method_args.verbose","dy_config.ood.method_args.visualization_nrow","dy_config.ood.method_args.with_std","dy_config.ood.pick_count","dy_config.ood.samples_visualization","dy_config.ood.seed"
"fashion-mnist_vs_fashion-mnist_test_previousness","yt7th9q7","pph375ni","26954","checkpoints-443rgkyn/PiecewiseRationalQuadraticCouplingTransform_fashion-mnist_barroom_sax6meoj_final/checkpoints/de_nf_best_valid.pt","checkpoints-443rgkyn/PiecewiseRationalQuadraticCouplingTransform_fashion-mnist_barroom_sax6meoj_final/run_config.json","fashion-mnist","","","","","false","8","8","8","train","fashion-mnist","","","","","false","8","8","8","test","true","","ood.baselines.CompelxityBased","","","","ensemble","0.2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2","","","128","","100"
"fashion-mnist_vs_omniglot_test_celaeno","0smfub8i","pph375ni","27142","checkpoints-443rgkyn/PiecewiseRationalQuadraticCouplingTransform_fashion-mnist_barroom_sax6meoj_final/checkpoints/de_nf_best_valid.pt","checkpoints-443rgkyn/PiecewiseRationalQuadraticCouplingTransform_fashion-mnist_barroom_sax6meoj_final/run_config.json","fashion-mnist","","","","","false","8","8","8","train","omniglot","","","","","false","8","8","8","test","true","","ood.baselines.CompelxityBased","","","","ensemble","0.2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2","","","128","","100"
"fashion-mnist_vs_mnist_test_sociologistically","v8drvw53","pph375ni","26626","checkpoints-443rgkyn/PiecewiseRationalQuadraticCouplingTransform_fashion-mnist_barroom_sax6meoj_final/checkpoints/de_nf_best_valid.pt","checkpoints-443rgkyn/PiecewiseRationalQuadraticCouplingTransform_fashion-mnist_barroom_sax6meoj_final/run_config.json","fashion-mnist","","","","","false","8","8","8","train","mnist","","","","","false","8","8","8","test","true","","ood.baselines.CompelxityBased","","","","ensemble","0.2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2","","","128","","100"
"mnist_vs_omniglot_test_rhodamine","2wl50gok","pph375ni","26813","checkpoints-443rgkyn/PiecewiseRationalQuadraticCouplingTransform_mnist_agenizing_xhkxy2eu_final/checkpoints/de_nf_best_valid.pt","checkpoints-443rgkyn/PiecewiseRationalQuadraticCouplingTransform_mnist_agenizing_xhkxy2eu_final/run_config.json","mnist","","","","","false","8","8","8","train","omniglot","","","","","false","8","8","8","test","true","","ood.baselines.CompelxityBased","","","","ensemble","0.2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2","","","128","","100"
"mnist_vs_fashion-mnist_test_humiliation","ps13nodj","pph375ni","26479","checkpoints-443rgkyn/PiecewiseRationalQuadraticCouplingTransform_mnist_agenizing_xhkxy2eu_final/checkpoints/de_nf_best_valid.pt","checkpoints-443rgkyn/PiecewiseRationalQuadraticCouplingTransform_mnist_agenizing_xhkxy2eu_final/run_config.json","mnist","","","","","false","8","8","8","train","fashion-mnist","","","","","false","8","8","8","test","true","","ood.baselines.CompelxityBased","","","","ensemble","0.2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2","","","128","","100"
"mnist_vs_mnist_test_hamburgers","wy92ofq8","pph375ni","26295","checkpoints-443rgkyn/PiecewiseRationalQuadraticCouplingTransform_mnist_agenizing_xhkxy2eu_final/checkpoints/de_nf_best_valid.pt","checkpoints-443rgkyn/PiecewiseRationalQuadraticCouplingTransform_mnist_agenizing_xhkxy2eu_final/run_config.json","mnist","","","","","false","8","8","8","train","mnist","","","","","false","8","8","8","test","true","","ood.baselines.CompelxityBased","","","","ensemble","0.2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2","","","128","","100"
"fashion-mnist_vs_omniglot_test_thoracolumbar","o09qdx0c","pph375ni","26137","checkpoints-443rgkyn/PiecewiseRationalQuadraticCouplingTransform_fashion-mnist_barroom_sax6meoj_final/checkpoints/de_nf_best_valid.pt","checkpoints-443rgkyn/PiecewiseRationalQuadraticCouplingTransform_fashion-mnist_barroom_sax6meoj_final/run_config.json","fashion-mnist","","","","","false","8","8","8","train","omniglot","","","","","false","8","8","8","test","true","","ood.baselines.CompelxityBased","","","","ensemble","0.4","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2","","","128","","100"
"fashion-mnist_vs_fashion-mnist_test_bannerets","idlq1zgx","pph375ni","25947","checkpoints-443rgkyn/PiecewiseRationalQuadraticCouplingTransform_fashion-mnist_barroom_sax6meoj_final/checkpoints/de_nf_best_valid.pt","checkpoints-443rgkyn/PiecewiseRationalQuadraticCouplingTransform_fashion-mnist_barroom_sax6meoj_final/run_config.json","fashion-mnist","","","","","false","8","8","8","train","fashion-mnist","","","","","false","8","8","8","test","true","","ood.baselines.CompelxityBased","","","","ensemble","0.4","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2","","","128","","100"
"fashion-mnist_vs_mnist_test_readership","uw5i6di6","pph375ni","25790","checkpoints-443rgkyn/PiecewiseRationalQuadraticCouplingTransform_fashion-mnist_barroom_sax6meoj_final/checkpoints/de_nf_best_valid.pt","checkpoints-443rgkyn/PiecewiseRationalQuadraticCouplingTransform_fashion-mnist_barroom_sax6meoj_final/run_config.json","fashion-mnist","","","","","false","8","8","8","train","mnist","","","","","false","8","8","8","test","true","","ood.baselines.CompelxityBased","","","","ensemble","0.4","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2","","","128","","100"
"mnist_vs_omniglot_test_noncontemptuously","c7hvajxo","pph375ni","25609","checkpoints-443rgkyn/PiecewiseRationalQuadraticCouplingTransform_mnist_agenizing_xhkxy2eu_final/checkpoints/de_nf_best_valid.pt","checkpoints-443rgkyn/PiecewiseRationalQuadraticCouplingTransform_mnist_agenizing_xhkxy2eu_final/run_config.json","mnist","","","","","false","8","8","8","train","omniglot","","","","","false","8","8","8","test","true","","ood.baselines.CompelxityBased","","","","ensemble","0.4","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2","","","128","","100"
